Longitude,Latitude,Name,order_start_time,order_end_time,service
-73.97802,40.78353,order1,2022-03-17T9:00:00,2022-03-17T19:30:00,maintenance
-73.98668,40.72135,order2,2022-03-17T8:00:00,2022-03-17T20:00:00,install
-73.96104,40.76117,order3,2022-03-17T8:00:00,2022-03-17T19:00:00,install
-73.97908,40.72952,order4,2022-03-17T10:00:00,2022-03-17T20:00:00,install
-73.98338,40.73731,order5,2022-03-17T8:00:00,2022-03-17T20:00:00,install
-73.94723,40.81695,order6,2022-03-17T8:00:00,2022-03-17T20:30:00,maintenance
-73.99558,40.75393,order7,2022-03-17T9:00:00,2022-03-17T21:30:00,maintenance
-73.96502,40.79956,order8,2022-03-17T9:30:00,2022-03-17T19:00:00,maintenance
-73.94715,40.81004,order9,2022-03-17T9:30:00,2022-03-17T21:30:00,maintenance
-73.94793,40.79121,order10,2022-03-17T9:30:00,2022-03-17T19:30:00,maintenance
-73.94069,40.84365,order11,2022-03-17T8:00:00,2022-03-17T19:00:00,maintenance
-74.00421,40.73022,order12,2022-03-17T9:00:00,2022-03-17T20:00:00,maintenance
-74.00116,40.72848,order13,2022-03-17T10:00:00,2022-03-17T20:00:00,maintenance
-73.93556,40.7975,order14,2022-03-17T9:00:00,2022-03-17T21:30:00,maintenance
-73.98543,40.72232,order15,2022-03-17T9:30:00,2022-03-17T19:30:00,install
-74.00594,40.73461,order16,2022-03-17T10:00:00,2022-03-17T20:00:00,maintenance
-73.97779,40.72208,order17,2022-03-17T8:00:00,2022-03-17T21:00:00,install
-73.97137,40.75181,order18,2022-03-17T8:00:00,2022-03-17T21:30:00,maintenance
-73.94053,40.82243,order19,2022-03-17T9:30:00,2022-03-17T20:00:00,install
-73.99568,40.7625,order20,2022-03-17T8:30:00,2022-03-17T19:30:00,maintenance
-73.95678,40.77506,order21,2022-03-17T9:30:00,2022-03-17T19:30:00,install
-73.95606,40.78378,order22,2022-03-17T10:30:00,2022-03-17T21:30:00,install
-73.97071,40.75408,order23,2022-03-17T10:00:00,2022-03-17T20:00:00,maintenance
-73.9361,40.80039,order24,2022-03-17T9:00:00,2022-03-17T21:30:00,maintenance
-73.97878,40.72315,order25,2022-03-17T10:00:00,2022-03-17T20:00:00,install
-73.99979,40.72744,order26,2022-03-17T8:30:00,2022-03-17T19:00:00,install
-74.00822,40.70884,order27,2022-03-17T10:00:00,2022-03-17T20:30:00,install
-74.00621,40.7139,order28,2022-03-17T8:00:00,2022-03-17T21:30:00,maintenance
-73.95334,40.81394,order29,2022-03-17T10:00:00,2022-03-17T21:00:00,maintenance
-73.99517,40.75374,order30,2022-03-17T9:30:00,2022-03-17T21:00:00,maintenance
-73.93952,40.81253,order31,2022-03-17T9:30:00,2022-03-17T19:30:00,maintenance
-73.99777,40.74299,order32,2022-03-17T9:00:00,2022-03-17T21:00:00,maintenance
-73.99963,40.73434,order33,2022-03-17T10:30:00,2022-03-17T19:30:00,maintenance
-74.00676,40.70777,order34,2022-03-17T9:00:00,2022-03-17T19:00:00,maintenance
-73.93943,40.83901,order35,2022-03-17T8:30:00,2022-03-17T21:00:00,maintenance
-73.98927,40.74794,order36,2022-03-17T10:00:00,2022-03-17T19:00:00,maintenance
-73.93237,40.85369,order37,2022-03-17T10:00:00,2022-03-17T21:00:00,maintenance
-73.95357,40.7734,order38,2022-03-17T10:30:00,2022-03-17T21:30:00,maintenance
-73.99626,40.76169,order39,2022-03-17T10:30:00,2022-03-17T19:00:00,maintenance
-73.99483,40.74751,order40,2022-03-17T10:00:00,2022-03-17T21:00:00,install
-73.99976,40.7149,order41,2022-03-17T10:00:00,2022-03-17T19:00:00,maintenance
-73.9941,40.73331,order42,2022-03-17T10:00:00,2022-03-17T19:00:00,maintenance
-73.99135,40.74509,order43,2022-03-17T10:30:00,2022-03-17T20:30:00,maintenance
-73.97358,40.75368,order44,2022-03-17T8:00:00,2022-03-17T20:30:00,maintenance
-74.00444,40.74393,order45,2022-03-17T9:30:00,2022-03-17T20:30:00,install
-73.9998,40.74494,order46,2022-03-17T9:00:00,2022-03-17T20:30:00,install
-73.98186,40.73833,order47,2022-03-17T10:30:00,2022-03-17T20:30:00,maintenance
-73.94393,40.83353,order48,2022-03-17T10:00:00,2022-03-17T21:30:00,install
-73.98444,40.72715,order49,2022-03-17T9:30:00,2022-03-17T20:30:00,maintenance
-73.99218,40.72176,order50,2022-03-17T9:00:00,2022-03-17T21:00:00,maintenance
-73.95466,40.80183,order51,2022-03-17T10:30:00,2022-03-17T19:00:00,install
-73.98849,40.76125,order52,2022-03-17T8:00:00,2022-03-17T21:30:00,install
-73.98237,40.7655,order53,2022-03-17T9:00:00,2022-03-17T21:00:00,maintenance
-73.99538,40.71816,order54,2022-03-17T8:00:00,2022-03-17T19:00:00,maintenance
-73.996,40.76182,order55,2022-03-17T9:30:00,2022-03-17T19:00:00,maintenance
-73.95589,40.82036,order56,2022-03-17T8:00:00,2022-03-17T19:00:00,maintenance
-73.98528,40.73111,order57,2022-03-17T8:00:00,2022-03-17T19:00:00,install
-73.94017,40.80762,order58,2022-03-17T10:00:00,2022-03-17T20:30:00,maintenance
